"study","scenario","method","N","FailureRate","MajorARI","MinorityDetectionF1","MinorityClusterF1","AnyMicroDiscovery","AbsQError","SpuriousExtraClusters","EndToEndMedian","EndToEndMean","SelectedG"
"architecture","M1","DBSCAN_full",4800,0,0.322767822827936,0.859339559727756,0.859339559727756,0.871041666666667,0.48625,0.357291666666667,0.00700000000142609,0.00895999999998746,NA
"architecture","M1","HDBSCAN_full",4800,0,0.278966348631826,0.873317456541411,0.873317456541411,0.947291666666667,0.9025,0.853541666666667,0.0224999999991269,0.020009999999985,NA
"architecture","M1","Oracle_TCLUST",4800,0,0.954080851068264,0.988912575391318,0.988912575391318,1,0,0.000208333333333333,0.318999999999505,0.332877083333305,NA
"architecture","M1","OTRIMLE_fixedK",4800,0,0.000207010899023823,0.957800904636979,0.957800904636979,0.987083333333333,0.0129166666666667,0,0.82799999999952,0.894981249999998,2
"architecture","M1","TCLUST",4800,0,0.921866003205452,0.0334272020245011,0.0334272020245011,0.0335416666666667,0.966458333333333,0,0.249499999999898,0.252531874999983,NA
"architecture","M1","tEIGEN_BIC",4800,0,0.937565916800339,0.970850886010663,0.970850886010663,1,1.010625,1.010625,41.3605000000007,46.8851489583334,4.01083333333333
"architecture","M1","Trimmed_kmeans",4800,0,0.266826404816829,0.00114029750534492,0.00114029750534492,0.00125,0.99875,0,0.11699999999837,0.122663333333303,NA
"architecture","M1","TSRClust_unvalidated",4800,0,0.921874177905956,0.714283268245366,0.714283268245366,1,0.574791666666667,0.586041666666667,0.25,0.253446874999977,NA
"architecture","M1","TSRClust_validated",4800,0,0.921864543530707,0.797417423554293,0.797417423554293,0.965416666666667,0.237083333333333,0.2025,1.88450000000194,1.86224249999997,NA
"architecture","M2","DBSCAN_full",4800,0,0.304247594245253,0.830841581041881,0.830841581041881,0.866458333333333,0.407708333333333,0.274166666666667,0.00799999999799184,0.00935374999996687,NA
"architecture","M2","HDBSCAN_full",4800,0,0.277714240774073,0.809288029812445,0.809288029812445,0.956875,1.31520833333333,1.27541666666667,0.0230000000010477,0.0202722916666706,NA
"architecture","M2","Oracle_TCLUST",4800,0,0.940509463586175,0.891700958335826,0.891700958335826,0.998125,0.001875,0.0622916666666667,0.32050000000163,0.331389791666659,NA
"architecture","M2","OTRIMLE_fixedK",4800,0,0.00831314135005278,0.835012571667752,0.835012571667752,0.932916666666667,0.0670833333333333,0,0.87749999999869,0.965318541666656,2
"architecture","M2","TCLUST",4800,0,0.944319460919223,0,0,0,1,0,0.241500000000087,0.251660833333327,NA
"architecture","M2","tEIGEN_BIC",4800,0,0.942853618759354,0.846868912614129,0.846868912614129,1,0.885208333333333,0.885208333333333,43.8260000000009,47.9749520833334,3.885625
"architecture","M2","Trimmed_kmeans",4800,0,0.218099697939538,0,0,0,1,0,0.136000000000422,0.122795625000028,NA
"architecture","M2","TSRClust_unvalidated",4800,0,0.944330716049594,0.446461428574776,0.446461428574776,1,0.588958333333333,0.588958333333333,0.249499999999898,0.252582083333317,NA
"architecture","M2","TSRClust_validated",4800,0,0.944319361537632,0.820468374719427,0.820468374719427,1,0.0820833333333333,0.0820833333333333,2.51199999999881,2.60861229166668,NA
"architecture","M3","DBSCAN_full",4800,0,0.31408304397348,0.696931857214839,0.696931857214839,0.764583333333333,0.71,0.474583333333333,0.00700000000142609,0.00904812500002057,NA
"architecture","M3","HDBSCAN_full",4800,0,0.291296491737349,0.826565700234335,0.826565700234335,0.922708333333333,0.9625,0.886875,0.0209999999970023,0.0201147916666931,NA
"architecture","M3","Oracle_TCLUST",4800,0,0.953166625048335,0.960817988799937,0.960817988799937,1,0,0.00125,0.3174999999992,0.3329158333333,NA
"architecture","M3","OTRIMLE_fixedK",4800,0,0.0574297326441077,0.734078149126713,0.734078149126713,0.795,0.205,0,1.14800000000105,1.37340812499998,2
"architecture","M3","TCLUST",4800,0,0.955256304277293,0,0,0,1,0,0.240999999998166,0.252237916666672,NA
"architecture","M3","tEIGEN_BIC",4800,0,0.941188182802231,0.860650340507027,0.860650340507027,1,0.531041666666667,0.531041666666667,43.1380000000008,47.7051433333333,3.53104166666667
"architecture","M3","Trimmed_kmeans",4800,0,0.257132426899039,0,0,0,1,0,0.137499999998909,0.123051666666687,NA
