"study","cell_id","scenario","factor_changed","method","n","p","main_k","separation","main_structure","main_distribution","minority_ratio","q","minority_sd","minority_proximity","MajorARI","MinorityDetectionF1","MinorityClusterF1","AnyMicroDiscovery","AbsQError","SpuriousExtraClusters","end_to_end_seconds"
"architecture",28,"M1","full_factorial","DBSCAN_full",1000,2,2,10,"elliptical","normal",0.05,1,0.2,"isolated",0.92347977767554,0.989677735232008,0.989677735232008,1,1.12333333333333,1.12333333333333,0.00446333333334527
"architecture",29,"M1","full_factorial","DBSCAN_full",1000,5,2,6,"spherical","normal",0.05,1,0.2,"isolated",-2.62463772898733e-06,0.342359275424934,0.342359275424934,0.35,0.65,0,0.0201133333333564
"architecture",30,"M1","full_factorial","DBSCAN_full",1000,5,2,10,"spherical","normal",0.05,1,0.2,"isolated",1.94017032879357e-06,0.99276275060684,0.99276275060684,1,0,0,0.0201166666665813
"architecture",31,"M1","full_factorial","DBSCAN_full",1000,5,2,6,"elliptical","normal",0.05,1,0.2,"isolated",5.59281549162678e-05,0.652532111610126,0.652532111610126,0.666666666666667,0.333333333333333,0,0.0202500000001116
"architecture",32,"M1","full_factorial","DBSCAN_full",1000,5,2,10,"elliptical","normal",0.05,1,0.2,"isolated",3.25711994340928e-05,0.993703188598524,0.993703188598524,1,0,0,0.0201933333333
"architecture",33,"M2","full_factorial","DBSCAN_full",500,2,2,6,"spherical","normal",0.025,1,0.2,"isolated",0.483169178456101,0.947646806154402,0.947646806154402,1,0.316666666666667,0.316666666666667,0.00268666666668044
"architecture",34,"M2","full_factorial","DBSCAN_full",500,2,2,10,"spherical","normal",0.025,1,0.2,"isolated",0.950137920069225,0.963785736003127,0.963785736003127,1,0.47,0.47,0.00262666666660759
"architecture",35,"M2","full_factorial","DBSCAN_full",500,2,2,6,"elliptical","normal",0.025,1,0.2,"isolated",0.000182897987462991,0.949524961976036,0.949524961976036,1,0.08,0.08,0.00263666666667026
"architecture",36,"M2","full_factorial","DBSCAN_full",500,2,2,10,"elliptical","normal",0.025,1,0.2,"isolated",0.942245586537429,0.961978177378177,0.961978177378177,1,0.5,0.5,0.0026800000000973
"architecture",37,"M2","full_factorial","DBSCAN_full",500,5,2,6,"spherical","normal",0.025,1,0.2,"isolated",-7.36569227975052e-07,0.312555834483977,0.312555834483977,0.343333333333333,0.656666666666667,0,0.00861666666662738
"architecture",38,"M2","full_factorial","DBSCAN_full",500,5,2,10,"spherical","normal",0.025,1,0.2,"isolated",3.76780649349517e-06,0.961452446914516,0.961452446914516,1,0,0,0.00888666666647623
"architecture",39,"M2","full_factorial","DBSCAN_full",500,5,2,6,"elliptical","normal",0.025,1,0.2,"isolated",2.44567347854369e-05,0.546918477732048,0.546918477732048,0.6,0.4,0,0.00874999999993937
"architecture",40,"M2","full_factorial","DBSCAN_full",500,5,2,10,"elliptical","normal",0.025,1,0.2,"isolated",8.25367533879571e-06,0.965943996743997,0.965943996743997,1,0,0,0.00876666666665793
"architecture",41,"M2","full_factorial","DBSCAN_full",1000,2,2,6,"spherical","normal",0.025,1,0.2,"isolated",0.601866591048168,0.961824240167985,0.961824240167985,1,0.806666666666667,0.806666666666667,0.00457333333350107
"architecture",42,"M2","full_factorial","DBSCAN_full",1000,2,2,10,"spherical","normal",0.025,1,0.2,"isolated",0.948051570976012,0.976934186860636,0.976934186860636,1,0.96,0.96,0.00455666666657635
"architecture",43,"M2","full_factorial","DBSCAN_full",1000,2,2,6,"elliptical","normal",0.025,1,0.2,"isolated",0.000114561784667163,0.960345558120646,0.960345558120646,1,0.343333333333333,0.343333333333333,0.00465333333329909
"architecture",44,"M2","full_factorial","DBSCAN_full",1000,2,2,10,"elliptical","normal",0.025,1,0.2,"isolated",0.942120164051491,0.972199942977385,0.972199942977385,1,0.91,0.91,0.004663333333289
