"method","N","FailureRate","MajorARI","MinorityDetectionF1","MinorityClusterF1","AnyMicroDiscovery","AbsQError","SpuriousExtraClusters","EndToEndMedian","EndToEndMean","SelectedG"
"DBSCAN_full",9000,0,0.000358730244715004,0.392370301009125,0.386229976281431,0.419222222222222,0.675444444444444,0.0171111111111111,0.0200000000000102,0.028877444444444,NA
"HDBSCAN_full",9000,0,0.0139457170589125,0.673552497683367,0.667235669284366,0.730222222222222,0.393666666666667,0.0607777777777778,0.032999999999447,0.0504527777777806,NA
"Oracle_TCLUST",9000,0,0.828851254565657,0.87888430274211,0.873454037519567,1,0,0.0993333333333333,0.501000000000204,0.976788555555561,NA
"OTRIMLE_fixedK",9000,0,0.0776073450276304,0.691258883329483,0.679942783183316,0.727888888888889,0.372111111111111,0.002,1.52500000000146,3.89153544444445,2.06666666666667
"TCLUST",9000,0,0.720307178099122,0.104753621979495,0.104753621979495,0.105,0.995,0,0.368999999999687,0.67749322222223,NA
"tEIGEN_BIC",9000,0,0.800741123767053,0.886273969266441,0.886393649835884,0.983666666666667,0.886111111111111,0.875,59.6885000000002,74.9576246666667,3.98177777777778
"Trimmed_kmeans",9000,0,0.0823611753769763,0.00712798886678733,0.00712798886678733,0.00777777777777778,1.09222222222222,0,0.170000000000073,0.194521888888884,NA
"TSRClust_unvalidated",9000,0,0.720308246903987,0.474376222860413,0.461299581146233,1,0.127111111111111,0.312,0.370000000000061,0.678868555555564,NA
"TSRClust_validated",9000,0,0.720303037480561,0.542025440606618,0.5353410140439,0.639444444444444,0.448333333333333,0.0143333333333333,1.69800000000032,1.68162711111111,NA
