"method","N","FailureRate","MajorARI","MinorityDetectionF1","MinorityClusterF1","AnyMicroDiscovery","AbsQError","SpuriousExtraClusters","EndToEndMedian","EndToEndMean","SelectedG"
"Oracle_TCLUST",19200,0,0.951318921137951,0.928627377456025,0.917238783177049,0.99953125,0.01296875,0.0711458333333333,0.347000000001572,0.35318395833331,NA
"TSRClust_unvalidated",19200,0,0.946232217566988,0.639567886911333,0.605914581596689,1,0.566510416666667,0.495052083333333,0.25,0.252406666666662,NA
"TCLUST",19200,0,0.946224976217661,0.00835680050612527,0.00835680050612527,0.00838541666666667,1.24161458333333,0,0.248999999999796,0.251503749999998,NA
"TSRClust_validated",19200,0,0.946224635911172,0.71922351058239,0.714867334682139,0.877395833333333,0.279895833333333,0.11671875,1.97500000000218,1.96156692708334,NA
"tEIGEN_BIC",19200,0,0.932010376298465,0.904621649541746,0.904875851197656,1,0.854895833333333,0.854895833333333,46.0750000000007,50.4516471875,4.10505208333333
"DBSCAN_full",19200,0,0.315074131525746,0.822552883748547,0.818351071515416,0.864166666666667,0.528697916666667,0.35609375,0.00700000000142609,0.00907546874999734,NA
"HDBSCAN_full",19200,0,0.283173182196228,0.846101303047706,0.842776272284435,0.95671875,1.013125,0.952395833333333,0.0229999999974098,0.0201017708333229,NA
"Trimmed_kmeans",19200,0,0.238237326205802,0.00028507437633623,0.00028507437633623,0.0003125,1.2496875,0,0.136999999996988,0.12246374999999,NA
"OTRIMLE_fixedK",19200,0,0.0165432203596574,0.788697692348337,0.747056953938751,0.926822916666667,0.323177083333333,0,0.889000000002852,1.03532713541665,2
