"method","N","FailureRate","MajorARI","MinorityDetectionF1","MinorityClusterF1","AnyMicroDiscovery","AbsQError","SpuriousExtraClusters","EndToEndMedian","EndToEndMean","SelectedG"
"DBSCAN_full",16000,0,0.31290824642538,NA,NA,0.2999375,0.513125,0.513125,0.00799999999981083,0.00997656249999531,NA
"HDBSCAN_full",16000,0,0.344955384822389,NA,NA,0.455625,4.41875,4.41875,0.0239999999994325,0.0207376874999986,NA
"OTRIMLE_fixedK",16000,0,0.716185104668426,NA,NA,0.0005625,0.0005625,0.0005625,0.956499999999778,1.34662818749999,2
"TCLUST",16000,0,0.901377458848535,NA,NA,0,0,0,0.251000000000204,0.2498105625,NA
"tEIGEN_BIC",16000,0,0.950473454812637,NA,NA,0.379125,0.4918125,0.4918125,51.8229999999999,57.7898395,2.4944375
"Trimmed_kmeans",16000,0,0.222053681509917,NA,NA,0,0,0,0.139000000000578,0.124107000000004,NA
"TSRClust_unvalidated",16000,0,0.901416668177527,NA,NA,1,1.491875,1.491875,0.251999999999498,0.250821687499997,NA
"TSRClust_validated",16000,0,0.901378190455796,NA,NA,0.0151875,0.0151875,0.0151875,0.354000000001179,0.409689124999997,NA
