"study","cell_id","scenario","factor_changed","method","n","p","main_k","separation","main_structure","main_distribution","minority_ratio","q","minority_sd","minority_proximity","MajorARI","MinorityDetectionF1","MinorityClusterF1","AnyMicroDiscovery","AbsQError","SpuriousExtraClusters","end_to_end_seconds"
"negative_control",10,"N0X","residual_total","OTRIMLE_fixedK",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.407315689980008,NA,NA,0.022,0.022,0.022,2.69110299999997
"negative_control",1,"N0X","baseline","TCLUST",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.859327579412051,NA,NA,0,0,0,0.374762000000004
"negative_control",2,"N0X","noise_type","TCLUST",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.941873614545163,NA,NA,0,0,0,0.370849000000003
"negative_control",3,"N0X","noise_type","TCLUST",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.756308710972967,NA,NA,0,0,0,0.374930000000007
"negative_control",4,"N0X","noise_type","TCLUST",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.762988636167223,NA,NA,0,0,0,0.376078000000017
"negative_control",5,"N0X","main_distribution","TCLUST",1000,5,2,6,"elliptical","t5",0,0,0.2,"isolated",0.737274517257265,NA,NA,0,0,0,0.37561800000001
"negative_control",6,"N0X","main_distribution","TCLUST",1000,5,2,6,"elliptical","t3",0,0,0.2,"isolated",0.683432120680667,NA,NA,0,0,0,0.379758000000011
"negative_control",7,"N0X","p","TCLUST",1000,10,2,6,"elliptical","normal",0,0,0.2,"isolated",0.875863298481179,NA,NA,0,0,0,0.632953999999972
"negative_control",8,"N0X","p","TCLUST",1000,25,2,6,"elliptical","normal",0,0,0.2,"isolated",0.0314851936478682,NA,NA,0,0,0,1.98237000000001
"negative_control",9,"N0X","residual_total","TCLUST",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.898460124635125,NA,NA,0,0,0,0.373789999999995
"negative_control",10,"N0X","residual_total","TCLUST",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.794750683769558,NA,NA,0,0,0,0.356356999999974
"negative_control",1,"N0X","baseline","tEIGEN_BIC",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.93692514279555,NA,NA,0.023,0.058,0.058,82.761222
"negative_control",2,"N0X","noise_type","tEIGEN_BIC",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.945210137940401,NA,NA,0.92,1.237,1.237,62.358645
"negative_control",3,"N0X","noise_type","tEIGEN_BIC",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.915081890977689,NA,NA,1,1.021,1.021,76.912949
"negative_control",4,"N0X","noise_type","tEIGEN_BIC",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.939237209902766,NA,NA,1,1.011,1.011,75.282506
"negative_control",5,"N0X","main_distribution","tEIGEN_BIC",1000,5,2,6,"elliptical","t5",0,0,0.2,"isolated",0.858696011880092,NA,NA,0,0,0,63.947972
"negative_control",6,"N0X","main_distribution","tEIGEN_BIC",1000,5,2,6,"elliptical","t3",0,0,0.2,"isolated",0.6980562009263,NA,NA,0.051,0.099,0.099,36.892291
