"study","cell_id","comparator","NPairs","MajorARI_MeanAdvantage","MajorARI_MCSE","MinorityDetectionF1_MeanAdvantage","MinorityDetectionF1_MCSE","MinorityClusterF1_MeanAdvantage","MinorityClusterF1_MCSE","AnyMicroDiscovery_MeanAdvantage","AnyMicroDiscovery_MCSE","AbsQError_MeanAdvantage","AbsQError_MCSE","SpuriousExtraClusters_MeanAdvantage","SpuriousExtraClusters_MCSE","end_to_end_seconds_MeanAdvantage","end_to_end_seconds_MCSE"
"negative_control",3,"DBSCAN_full",1000,0.756125289327457,0.000417119362643645,NA,NA,NA,NA,0,0,0,0,0,0,-0.418772000000016,0.000521323118414744
"negative_control",4,"DBSCAN_full",1000,0.762780846944174,0.000407769669379497,NA,NA,NA,NA,-0.003,0.00173031615434694,-0.003,0.00173031615434694,-0.003,0.00173031615434694,-0.428678000000008,0.00431474371536939
"negative_control",5,"DBSCAN_full",1000,0.737116805878097,0.00067602204201739,NA,NA,NA,NA,0,0,0,0,0,0,-0.414224999999986,0.00057667575805639
"negative_control",6,"DBSCAN_full",1000,0.68327061279905,0.000706182031454025,NA,NA,NA,NA,0,0,0,0,0,0,-0.415158000000033,0.000562127230281648
"negative_control",7,"DBSCAN_full",1000,0.87586281783169,0.0005233913018557,NA,NA,NA,NA,0,0,0,0,0,0,-0.647682000000006,0.00113553084780065
"negative_control",8,"DBSCAN_full",1000,0.0314851936478682,0.00262037602656111,NA,NA,NA,NA,0,0,0,0,0,0,-1.98170900000002,0.00184213728825779
"negative_control",9,"DBSCAN_full",1000,0.898383974988704,0.000475671381623152,NA,NA,NA,NA,0,0,0,0,0,0,-0.397192000000026,0.00049050762861898
"negative_control",10,"DBSCAN_full",1000,0.794738598317232,0.000542880720580145,NA,NA,NA,NA,0,0,0,0,0,0,-0.436123999999996,0.000808210262138839
"negative_control",1,"HDBSCAN_full",1000,0.840582908797439,0.000678670517537742,NA,NA,NA,NA,0.174,0.0119944932309734,0.188,0.0134475587686701,0.188,0.0134475587686701,-0.408780000000004,0.000680462069941141
"negative_control",2,"HDBSCAN_full",1000,0.920044688476242,0.000721374166326043,NA,NA,NA,NA,0.136,0.010845350230473,0.147,0.0121465443043912,0.147,0.0121465443043912,-0.396495999999991,0.00049725169003559
"negative_control",3,"HDBSCAN_full",1000,0.75628674511721,0.000418003806531118,NA,NA,NA,NA,0.026,0.00503481373531825,0.033,0.00677915606524566,0.033,0.00677915606524566,-0.405844000000012,0.00052149172344146
"negative_control",4,"HDBSCAN_full",1000,0.762575017698769,0.000414596742991403,NA,NA,NA,NA,0.72,0.0142056961040915,1.013,0.0256024703200001,1.013,0.0256024703200001,-0.414885999999999,0.00431507159231992
"negative_control",5,"HDBSCAN_full",1000,0.712247271843094,0.000813036837928217,NA,NA,NA,NA,0.025,0.00493957481969849,0.025,0.00493957481969849,0.025,0.00493957481969849,-0.404090999999994,0.000592426947976242
"negative_control",6,"HDBSCAN_full",1000,0.655027875607019,0.000828664437173476,NA,NA,NA,NA,0.014,0.00371723254825654,0.014,0.00371723254825654,0.014,0.00371723254825654,-0.407283000000011,0.000573419323638248
"negative_control",7,"HDBSCAN_full",1000,0.875863298481179,0.000523379010020428,NA,NA,NA,NA,0,0,0,0,0,0,-0.646864999999993,0.0011441660241808
"negative_control",8,"HDBSCAN_full",1000,0.0314851936478682,0.00262037602656111,NA,NA,NA,NA,0,0,0,0,0,0,-1.98531900000002,0.00186401979839479
"negative_control",9,"HDBSCAN_full",1000,0.880611464593706,0.000652274093318983,NA,NA,NA,NA,0.188,0.0123615860151038,0.201,0.0136669596394292,0.201,0.0136669596394292,-0.38406900000005,0.000487103180556644
"negative_control",10,"HDBSCAN_full",1000,0.771901683778149,0.000764497312221636,NA,NA,NA,NA,0.12,0.0102813280127475,0.131,0.0117463601586609,0.131,0.0117463601586609,-0.424794999999996,0.00077379566730116
"negative_control",1,"OTRIMLE_fixedK",1000,0.352115660857473,0.0145582645352609,NA,NA,NA,NA,0.002,0.00141350557055782,0.002,0.00141350557055782,0.002,0.00141350557055782,2.58747999999999,0.0603051176502858
"negative_control",2,"OTRIMLE_fixedK",1000,0.344714364166022,0.0143464288240739,NA,NA,NA,NA,0,0,0,0,0,0,2.10188399999999,0.0362574503688725
